AXL-program	MITF-program
ANGPTL4	MITF
FSTL3	TYR
GPC1	PMEL
TMSB10	PLP1
SH3BGRL3	GPR143
PLAUR	MLANA
NGFR	STX7
SEC14L2	IRF4
FOSL1	ERBB3
SERPINE1	CDH1
IGFBP3	GPNMB
TNFRSF12A	IGSF11
GBE1	SLC24A5
AXL	SLC45A2
PHLDA2	RAP2B
MAP1B	ASAH1
GEM	MYO10
SLC22A4	GRN
TYMP	DOCK10
TREM1	ACSL3
RIN1	SORT1
S100A4	QPCT
COL6A2	S100B
FAM46A	MYC
CITED1	LZTS1
S100A10	GYG2
UCN2	SDCBP
SPHK1	LOXL4
TRIML2	ETV5
S100A6	C1orf85
TMEM45A	HMCN1
CDKN1A	OSTM1
UBE2C	ALDH7A1
ERO1L	FOSB
SLC16A6	RAB38
CHI3L1	ELOVL2
FN1	MLPH
S100A16	PLK2
CRIP1	CHL1
SLC25A37	RDH11
LCN2	LINC00473
ENO2	RELL1
PFKFB4	C21orf91
SLC16A3	SCAMP3
DBNDD2	SGK3
LOXL2	ABCB5
CFB	SLC7A5
CADM1	SIRPA
LTBP3	WDR91
CD109	PIGS
AIM2	CYP27A1
TCN1	TM7SF3
STRA6	PTPRZ1
C9orf89	CNDP2
DDR1	CTSK
TBC1D8	BNC2
METTL7B	TOB1
GADD45A	CELF2
UPP1	ROPN1
SPATA13	TMEM98
GLRX	CTSA
PPFIBP1	LIMA1
PMAIP1	CD99
COL6A1	IGSF8
JMJD6	FDFT1
CIB1	CPNE3
HPCAL1	SLC35B4
MT2A	EIF3E
ZCCHC6	TNFRSF14
IL8	VAT1
TRIM47	HPS5
SESN2	CDK2
PVRL2	CAPN3
DRAP1	SUSD5
MTHFD2	ADSL
SDC4	PIGY
NNMT	PON2
PPL	SLC19A1
TIMP1	KLF6
RHOC	MAGED1
GNB2	ERGIC3
PDXK	PIR
CTNNA1	SLC25A5
CD52	JUN
SLC2A1	ARPC1B
BACH1	SLC19A2
ARHGEF2	AKR7A2
UBE2J1	HPGD
CD82	TBC1D7
ZYX	TFAP2A
P4HA2	PTPLAD1
PEA15	SNCA
GLRX2	GNPTAB
HAPLN3	DNAJA4
RAB36	APOE
SOD2	MTMR2
ESYT2	ATP6V1B2
IL18BP	C16orf62
FGFRL1	EXOSC4
PLEC	STAM
